name1,name2,direction,cas,note
5-amino-4-chloro-2-phenylpyridazin-3(2H)-one,Chloridazon
5-chlor-8-chinolinoxy-essigsäure-1-methylhexylester,Cloquintocet-mexyl
"6-chloro-N2,N4-diethyl-1,3,5-triazine-2,4-diamine",Simazine
7-chloro-3-methylquinoline-8-carboxylic acid,Quinmerac
"7-oxabicyclo[2.2.1]heptane-2,3-Dicarboxylic acid",Endothall
"8-Quinolinecarboxylic aicd, 3,7-dichloro-",Quinclorac
"8-tert-butyl-1,4-dioxaspiro[4.5]decan-2-ylmethyl(ethyl)(propyl)amine",Spiroxamine
"9,10-dihydro-9,10-dioxoanthracene",Anthraquinone
9H-Fluorene,Fluorene
"AOX, Adsorbable Organic Halogen as Cl","AOX, Adsorbable Organic Halogen",,,older spelling of the same sum parameter
Abamectin,Zephyr
Acephate,Ortho 12420
"Acetic acid, trifluoro-",TFA
"Acetic acid, trifluoro-",Trifluoressigsaeure
Acetonitrile,"methyl cyanide, cyanomethane"
Acetyl chloride,ethanoyl chloride
"Acidity, unspecified","Acids, unspecified"
"Ackerbau, nicht bewässert","Occupation, annual crop, non-irrigated"
Acrylate,"Acrylate, ion"
"Acrylate, ion",Acrylic acid
Actinium,"Actinium, in ground"
Aldicarb,UC21149
Aldrin,Aldrosol
Aluminium,"Aluminium, in ground"
Ametryn,Evik
Amitraz,Triazid
Ammonium sulfate,Diammonium sulfate
Angebaute Brachen in Fruchtfolgen,"Occupation, cropland fallow (non-use)"
Anhydrite,"Anhydrite, in ground"
"Anhydrite, in ground",Calciumsulfat
Anthracen,Anthracene
Anthracene,Anthracin
Anthracene,Paranaphthalene
Antimony,"Antimony, in ground"
Antimony,"Antimony, ion",,007440-36-0,EF 3.1 characterizes antimony of unstated valence as the average of Sb(III) and Sb(V) (report JRC130796 table 6 note d): Antimony ion in the adapted collection
"Antimony, in ground",Stibnite,input
Argon,Argon-40
Argon-40,Argon-40/kg
Arsane,Arsine
Arsenic,"Arsenic, in ground"
Arsenic,"Arsenic, ion"
Arsenwasserstoff,Arsine
Arsine,Monoarsan
Asbest,"Chrysotile, in ground"
Assure,Quizalofop ethyl ester
Asulam,methyl 4-aminophenylsulfonylcarbamate
Axole,Furan
Azinphos-methyl,GUTHION (AZINPHOS-METHYL)
Azoxystrobin,methyl (E)-2-{2-[6-(2-cyanophenoxy)pyrimidin-4-yloxy]phenyl}-3-methoxyacrylate
BAS-517-H,Cycloxydim
BOD5 (Biological Oxygen Demand),"BOD5, Biological Oxygen Demand"
BOU,Sulfuric acid
BaP,Benzo(a)pyrene
Barium,"Barium, in ground"
Barium,"Barium (II)",,022541-12-4,EF 3.1 toxicity characterizes only the ionic species; the elemental metal emission maps to it
Basalt,"Basalt, in ground"
Baycor,Bitertanol
Benfluralin,Benthrodine
Benomyl,methyl 1-(butylcarbamoyl)benzimidazol-2-ylcarbamate
Bensulfuron Me,Bensulfuron methyl ester
Benz(a)anthracene,Benzo(a)anthracene
Benz(a)anthracene,Tetraphene
Benzene,"BTEX (Benzene, Toluene, Ethylbenzene, and Xylene), unspecified ratio"
"Benzene, 1,2-dichloro-","Benzene, dichloro"
"Benzene, 1,2-dichloro-",o-Dichlorobenzene
"Benzene, 1-methyl-2-nitro-",o-Nitrotoluene
"Benzene, ethyl-",Ethylbenzol
"Benzene, hexachloro-",HCB
"Benzene, hexachloro-",Hexachlorbenzol
"Benzene, pentachloro-",Pentachlorbenzol
"Benzene, pentachloronitro-",Quintozene
Benzo(a)phenanthrene,Chrysene
Benzo(b)fluoranthene,"Benzo(b,j,k)fluoranthene"
"Benzo(g,h,i)perylene",Benzo(ghi)perylene
Beryllium,"Beryllium, in ground"
Beryllium,"Beryllium (II)",,022537-20-8,EF 3.1 toxicity characterizes only the ionic species; the elemental metal emission maps to it
Beta-cyfluthrin,Cyfluthrin
Beta-methylbivinyl,Isoprene
Biethylene,Butadiene
Bifenox,"methyl 5-(2,4-dichlorophenoxy)-2-nitrobenzoate"
"Bis(1-methylethyl)carbamothioic acid S-(2,3,3-trichloro-2-propenyl)ester",Tri-allate
Bis-(N-cyclohexyldiazeniumdioxy)-copper,Cu-HDO
Bismuth,"Bismuth, in ground"
Borate,borate ion
Borax,"Borax, in ground"
Boron,"Boron, in ground"
Botrilex,Quintozene
Bromacil,Urox B
Bromchlorphos,Naled
Bromopropylate,"Isopropyl 4,4'dibromobenzilate"
"Buta-1,3-diene",Butadiene
Butadiene,Pyrrolylene
Butyl Benzyl Phtalat,"Phthalate, butyl-benzyl-"
CAS also 7789-75-5,"Fluorspar, 92%, in ground"
"CL 35,024",Phorate
COD (Chemical Oxygen Demand),"COD, Chemical Oxygen Demand"
Cadmium,"Cadmium, in ground"
Cadmium,"Cadmium, ion"
Cadmium,"Cadmium (II)",,022537-48-0,EF 3.1 toxicity characterizes only the ionic species; the elemental metal emission maps to it
"Caesium, in ground",Cesium
Cesium,"Cesium (I)",,018459-37-5,EF 3.1 toxicity characterizes only the ionic species; the elemental metal emission maps to it
Calcite,"Calcite, in ground"
Calcium,"Calcium, in ground"
Calcium,"Calcium, ion"
Calcium sulfate dihydrate,"Gypsum, in ground"
Caparol,Prometryn
Captan,"N-(trichloromethylthio)cyclohex-4-ene-1,2-dicarboximide"
"Carbamic acid, (3,4-diethoxyphenyl)-, 1-methylethyl ester",Diethofencarb
"Carbamic acid, [(dibutylamino)thio]methyl-, 2,3-dihydro-2,2-dimethyl-7-benzofuranyl ester",Carbosulfan
Carbaryl,Sevin
Carbatene,Metiram
Carbendazim,methyl benzimidazol-2-ylcarbamate
Carbon,Elemental carbon
Carbon dioxide,"Carbon dioxide, fossil"
"Carbon dioxide, biogenic","Carbon dioxide, non-fossil"
"Carbon dioxide, from soil or biomass stock","Carbon dioxide, land transformation"
"Carbon dioxide, from soil or biomass stock","Carbon dioxide, peat oxidation"
"Carbon dioxide, from soil or biomass stock","Carbon dioxide (land use change)"
Carbon disulfide,Dithiocarbonic Anhydride
Carbon disulfide,dithiocarbonic anhydride
Carbon disulfide,sulfocarbonic anhydride
Carbon monoxide,"Carbon monoxide, fossil"
"Carbon monoxide, biogenic","Carbon monoxide, non-fossil"
"Carbon monoxide, from soil or biomass stock","Carbon monoxide, land transformation"
"Carbon monoxide, from soil or biomass stock","carbon monoxide (land use change)"
Carbon trioxide,Carbonate
Carbonate,Carbonate ion
"Carboxanilido-2,3-dihydro-6-methyl-1,4-oxathiin",Carboxin
Carfentrazone ethyl ester,Carfentrazone-ethyl
Cerium,"Cerium, in ground"
Chloride,"Chloride, ion"
Chlorimuron-ethyl,ethyl 2-(4-chloro-6-methoxypyrimidin-2-ylcarbamoylsulfamoyl)benzoate
Chloroacetyl chloride,"monochloroacetyl chloride, chloracetic chloride"
Chloroform,Trichlormethan
Chlorosulfonic acid,"chlorosulphuric acid, chloridosulfonic acid, sulfuric chlorohydrin"
Chlorothalonil,tetrachloroisophthalonitrile
Chlorotoluron,Chlortoluron
Chromium,"Chromium, in ground"
Chromium,"Chromium (III)",,016065-83-1,older SimaPro name for trivalent chromium: the amounts EcoSpold 2 records as Chromium III and later exports write Chromium (III); EF 3.1 itself gives chromium of unstated valence the hexavalent factors (report JRC130796 table 6 note c)
Chrysotile,"Chrysotile, in ground"
Cinnabar,"Cinnabar, in ground"
"Clay, bentonite","Clay, bentonite, in ground"
"Clay, unspecified","Clay, unspecified, in ground"
